Fecha;Turno;Proveedor;KLS Leche
2023/05/16;M;31003;58
2023/05/16;T;31003;69
2023/05/17;M;31003;20
2023/05/17;T;31003;23
2023/05/18;M;31003;20
2023/05/18;T;31003;23
2023/05/19;M;31003;20
2023/05/19;T;31003;23
2023/05/20;M;31003;50
2023/05/20;T;31003;20
2023/05/21;M;31003;20
2023/05/21;T;31003;60
2023/05/22;M;31003;29
2023/05/23;T;31003;23
2023/05/23;M;31003;26
2023/05/25;T;31003;23
2023/05/24;M;31003;50
2023/05/24;T;31003;60
2023/05/16;M;12548;20
2023/05/16;T;12548;68
2023/05/17;M;12548;23
2023/05/17;T;12548;23
2023/05/18;M;12548;21
2023/05/18;T;12548;23
2023/05/19;M;12548;55
2023/05/19;T;12548;60
2023/05/20;M;12548;20
2023/05/20;T;12548;23
2023/05/21;M;12548;50
2023/05/21;T;12548;60
2023/05/22;M;12548;20
2023/05/22;T;12548;23
2023/05/23;M;12548;20
2023/05/23;T;12548;23
2023/05/24;M;12548;20
2023/05/24;T;12548;26
2023/05/25;M;12548;50
2023/05/25;T;12548;23
2023/05/16;M;12345;20
2023/05/16;T;12345;23
2023/05/17;M;12345;50
2023/05/17;T;12345;60
2023/05/18;M;12345;20
2023/05/18;T;12345;27
2023/05/19;M;12345;20
2023/05/19;T;12345;23
2023/05/20;M;12345;29
2023/05/20;T;12345;23
2023/05/21;M;12345;56
2023/05/21;T;12345;23
2023/05/22;M;12345;20
2023/05/22;T;12345;60
2023/05/23;M;12345;24
2023/05/23;T;12345;23
2023/05/24;M;12345;20
2023/05/24;T;12345;23
2023/05/25;M;12345;55
2023/05/26;T;12345;60
2023/05/27;M;12345;50
2023/05/27;M;12345;70
2023/05/28;T;12345;60
2023/05/29;T;12345;90
2023/05/16;M;10035;20
2023/05/16;T;10035;26
2023/05/17;M;10035;50
2023/05/17;T;10035;60
2023/05/18;M;10035;20
2023/05/18;T;10035;23
2023/05/19;M;10035;20
2023/05/20;T;10035;23
2023/05/21;M;10035;20
2023/05/22;T;10035;23
2023/05/23;M;10035;50
2023/05/23;T;10035;23
2023/05/24;M;10035;20
2023/05/24;T;10035;60
2023/05/25;M;10035;25
2023/05/26;T;10035;23
2023/05/26;M;10035;20
2023/05/27;T;10035;23
2023/05/27;M;10035;50
2023/05/28;T;10035;63
2023/05/28;M;10035;50
2023/05/29;T;10035;60
2023/05/30;M;10035;50
2023/05/30;T;10035;70
2023/05/31;M;10035;50
2023/05/31;T;10035;69
